category,pairID,pairLevel,video1,video1Level,video2,video2Level
Comedy,0,viral,7288016476928216363,viral,7295114410094382369,viral
Comedy,1,viral,7291024363799760171,viral,7288016476928216363,viral
Comedy,2,viral-high,7288016476928216363,viral,7305554824894926123,high
Comedy,3,high-viral,7297370558558211371,high,7288016476928216363,viral
Comedy,4,viral,7311427137628605738,viral,7288016476928216363,viral
Comedy,5,viral,7356348696285482282,viral,7288016476928216363,viral
Comedy,6,viral,7288016476928216363,viral,7354933754755845418,viral
Comedy,7,viral,7354048737544506657,viral,7288016476928216363,viral
Comedy,8,viral,7288016476928216363,viral,7353852457929280810,viral
Comedy,9,viral,7288016476928216363,viral,7339406908924890369,viral
Comedy,10,viral,7288016476928216363,viral,7348770590053944577,viral
Comedy,11,viral,7288016476928216363,viral,7348573721084349742,viral
Comedy,12,viral,7288016476928216363,viral,7353414299001310495,viral
Comedy,13,viral,7288016476928216363,viral,7352981264670100782,viral
Comedy,14,viral-high,7288016476928216363,viral,7280563062678113537,high
Comedy,15,viral,7288016476928216363,viral,7287330797407702303,viral
Comedy,16,medium-viral,7312271032906190123,medium,7288016476928216363,viral
Comedy,17,viral,7288016476928216363,viral,7330000273399745835,viral
Comedy,18,high-viral,7352002535462505774,high,7288016476928216363,viral
Comedy,19,viral-high,7288016476928216363,viral,7351670946459159851,high
Comedy,20,viral,7351144574661774635,viral,7288016476928216363,viral
Comedy,21,viral,7350918067708300587,viral,7288016476928216363,viral
Comedy,22,viral,7340687233269140779,viral,7288016476928216363,viral
Comedy,23,viral-high,7288016476928216363,viral,7338552968515439905,high
Comedy,24,viral,7348942217689451806,viral,7288016476928216363,viral
Comedy,25,viral,7341796912883862814,viral,7288016476928216363,viral
Comedy,26,medium-viral,7208612613729701162,medium,7288016476928216363,viral
Comedy,27,viral-low,7288016476928216363,viral,7325810109223800110,low
Comedy,28,viral,7350772960304844078,viral,7288016476928216363,viral
Comedy,29,viral-high,7288016476928216363,viral,7350708324125445408,high
